RunTime,ExecutableName
2024-02-11 03:49:28,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-05 03:49:33,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-05 03:49:33,\VOLUME{01da548a92ca424f-2492e71d}\PROGRAMDATA\MICROSOFT\WINDOWS DEFENDER\PLATFORM\4.18.23110.3-0\MPCMDRUN.EXE
2024-02-11 03:46:42,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MPSIGSTUB.EXE
2024-02-05 03:33:34,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\SYSTEM32\MPSIGSTUB.EXE
2024-02-12 04:54:51,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-12 04:54:51,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:45:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:45:41,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:45:38,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:45:38,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:45:37,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:45:37,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK64\V4.0.30319\MSCORSVW.EXE
2024-02-12 04:56:08,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCORSVW.EXE
2024-02-12 04:56:07,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:46:12,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCORSVW.EXE
2024-02-11 03:46:12,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCORSVW.EXE
2024-02-05 03:41:58,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCORSVW.EXE
2024-02-05 03:41:58,\VOLUME{01da548a92ca424f-2492e71d}\WINDOWS\MICROSOFT.NET\FRAMEWORK\V4.0.30319\MSCORSVW.EXE
